Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Jose Salas","SS","MIA",,7,"18.1083333","20 / 40",,,"25 / 50","45 / 60","60 / 50","35 / 45",,,,"45","sa3014690"
"Peyton Burdick","RF","MIA",,8,"24.275","30 / 40",40,50,"40 / 60","70 / 70","55 / 55","40 / 50",91,,109,"45","sa3009876"
"Jesus Sanchez","RF","MIA",,10,"23.6611111","30 / 40",30,45,"30 / 50","70 / 70","50 / 50","50 / 50",92,,111,"45","19913"
"Kameron Misner","CF","MIA",,12,"23.4083333","30 / 40",55,45,"35 / 50","60 / 60","60 / 60","50 / 55",87,,106,"45","sa3011656"
"Jerar Encarnacion","DH","MIA",,13,"23.6194444","35 / 50",40,50,"45 / 60","60 / 60","30 / 30","40 / 45",91,,109,"45","sa943817"
"Nasim Nunez","SS","MIA",,14,"20.7972222","30 / 45",45,45,"30 / 35","40 / 45","60 / 60","55 / 70",84,,97,"45","sa3010695"
"Lewin Diaz","1B","MIA",,15,"24.5444444","45 / 45",40,50,"45 / 45","60 / 60","45 / 45","60 / 70",91,,107,"45","18365"
"Alex Jackson","C","ATL",,8,"25.4444444","35 / 40",30,55,"50 / 55","70 / 70","30 / 30","45 / 50",91,0.51,112,"45","17276"
"Arol Vera","SS","LAA",,4,"18.7305555","20 / 45",,,"20 / 50","45 / 60","50 / 50","40 / 50",,,,"45","sa3014687"
"Adrian Placencia","2B","LAA",,5,"18.0083333","25 / 55",,,"20 / 40","30 / 45","50 / 50","40 / 50",,,,"45","sa3014688"
"Kyren Paris","2B","LAA",,6,"19.5666666","20 / 50",,55,"20 / 40","45 / 55","70 / 70","45 / 50",,,,"45","sa3011768"
"Drew Romo","C","COL",,3,"19.7666666","20 / 40",,35,"20 / 45","55 / 60","30 / 30","45 / 60",,,,"45","sa3014522"
"Miguel Hiraldo","3B","TOR",,9,"20.75","25 / 55",40,55,"25 / 50","50 / 55","50 / 40","40 / 45",86,0.26,108,"45","sa3005486"
"Michael Toglia","1B","COL",,4,"22.8027777","35 / 55",55,45,"35 / 55","55 / 55","40 / 40","55 / 60",90,,107,"45","sa3010393"
"Brenton Doyle","CF","COL",,6,"23.0583333","35 / 50",50,50,"30 / 50","60 / 60","60 / 60","40 / 50",87,,106,"45","sa3009965"
"Colton Welker","3B","COL",,7,"23.6555555","55 / 55",45,60,"35 / 40","50 / 50","30 / 30","40 / 40",87,,104,"45","sa917962"
"Ryan McKenna","CF","BAL",,7,"24.3083333","40 / 45",60,50,"30 / 40","45 / 45","70 / 70","55 / 60",88,0.41,107,"45","19928"
"Jordan Westburg","2B","BAL",,8,"22.2972222","35 / 50",50,45,"30 / 50","50 / 50","55 / 55","40 / 45",93,,110,"45","sa3014499"
