Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Juan Then","SP","SEA",,11,"21.3277777",,"Tail","55 / 60","55 / 60","","40 / 50","40 / 50",2400,2450,"93-96","98","45","sa3002793"
"Noah Song","SP","BOS",,5,"24.0194444",,"Rise/Tail","55 / 60","50 / 55","50 / 55","40 / 45","40 / 50",2350,2500,"93-95","99","45","sa3011695"
"Tanner Houck","MIRP","BOS",,6,"24.9333333",,"Tail","55 / 55","55 / 60","","","45 / 50",2350,2700,"91-94","96","45","19879"
"Connor Seabold","SP","BOS",,8,"25.3638888",,"Rise","45 / 50","50 / 50","45 / 45","55 / 60","55 / 60",,,"90-93","94","45","sa829464"
"Luis Garcia","SP","HOU",,5,"24.4777777",,"Rise","50 / 50","55 / 55","45 / 50","55 / 60","50 / 50",2400,2500,"91-94","96","45","23735"
"Bryan Abreu","SIRP","HOU",,6,"24.1194444",,"Rise/Tail","60 / 60","70 / 70","80 / 80","","30 / 30",2250,3000,"93-96","97","45","16609"
"Seth Corry","MIRP","SFG",,10,"22.5888888",,"Sink","50 / 55","","55 / 60","50 / 50","35 / 40",2200,2600,"90-94","95","45","sa3004648"
"Tristan Beck","SP","SFG",,12,"24.9472222",,"Rise","50 / 50","45 / 45","55 / 55","55 / 55","40 / 45",2250,2400,"89-94","95","45","sa3008526"
"J.T. Ginn","SP","NYM",,7,"22.0416666",,,"50 / 55","55 / 60","","45 / 50","35 / 50",,,"91-94","96","45","sa3014428"
"Jackson Kowar","SIRP","KCR",,8,"24.6694444",,"Tail","55 / 60","","45 / 45","70 / 70","40 / 45",2300,2400,"93-96","98","45","sa3008273"
"Alexander Vizcaino","SIRP","NYY",,11,"24.0361111",,"Tail","60 / 60","45 / 50","","60 / 70","30 / 35",2150,2500,"93-97","98","45","sa920272"
"Luis Gil","SIRP","NYY",,13,"23.0055555",,"Rise","70 / 70","50 / 50","","40 / 45","40 / 45",2550,2750,"93-97","99","45","sa877821"
"Zack Thompson","SP","STL",,6,"23.6027777",,"Sink","40 / 45","45 / 50","60 / 60","","45 / 50",2050,2900,"91-94","97","45","sa3011128"
"Masyn Winn","SIRP/SS","STL",,7,"19.2055555",,,"60 / 70","","60 / 70","30 / 50","20 / 40",,,"93-96","98","45","sa3014506"
"Johan Oviedo","MIRP","STL",,8,"23.2583333",,"Rise","55 / 60","55 / 60","50 / 50","45 / 50","35 / 45",2300,2500,"93-95","99","45","22487"
"Jack Kochanowicz","SP","LAA",,8,"20.4527777",,"Rise","45 / 50","","50 / 60","45 / 50","30 / 50",2250,2600,"88-92","94","40+","sa3014539"
