Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Sam Carlson","SP","SEA",,21,"22.5055555",,"Rise","55 / 60","","45 / 50","50 / 60","40 / 55",2200,2350,"89-93","94","40","sa3005015"
"Levi Stoudt","SIRP","SEA",,22,"23.5027777",,,"50 / 50","40 / 45","","55 / 60","30 / 40",2200,2250,"93-96","97","40","sa3014545"
"Ljay Newsome","SP","SEA",,23,"24.575",,,"50 / 50","","45 / 45","55 / 60","55 / 60",2200,2100,"89-92","94","40","19942"
"Blayne Enlow","MIRP","MIN",,17,"22.2055555",,"Sink","50 / 50","50 / 50","","45 / 50","40 / 45",2300,2550,"91-94","96","40","sa3005117"
"Damon Casetta-Stubbs","SIRP","SEA",,24,"21.8694444",,"Tail","45 / 50","50 / 55","55 / 60","30 / 30","40 / 50",2200,2400,"89-93","95","40","sa3008387"
"Chris Vallimont","SP","MIN",,18,"24.2138888",,"Rise","45 / 45","45 / 50","45 / 50","40 / 50","40 / 50",2350,2600,"89-93","95","40","sa3008026"
"Josias De Los Santos","SIRP","SEA",,26,"21.85",,,"50 / 55","50 / 55","","","45 / 50",2300,2450,"90-95","97","40","sa3006508"
"Edwar Colina","SIRP","MIN",,21,"24.0888888",,"Sink","60 / 60","50 / 55","","40 / 40","40 / 45",2400,2800,"94-98","100","40","20589"
"Bailey Ober","MIRP","MIN",,22,"25.8972222","3/1/15","Rise/Cut","45 / 45","40 / 40","45 / 50","60 / 60","60 / 60",2200,2000,"85-87","88","40","21224"
"Marco Raya","SP","MIN",,23,"18.8277777",,"Rise/Cut","40 / 50","45 / 50","","40 / 55","35 / 55",,,"88-92","95","40","sa3014550"
"Jovani Moran","SIRP","MIN",,26,"24.1138888",,"Rise","45 / 45","45 / 45","","70 / 70","40 / 40",2300,2475,"90-93","95","40","sa875188"
"Frank German","RHP","BOS",,27,"23.7027777",,"Cut/Rise","60 / 65","40 / 50","","45 / 50","35 / 40",2200,2400,"92-96","98","40","sa3007729"
"Jacob Wallace","SIRP","BOS",,28,"22.8111111",,"Tail","45 / 50","50 / 60","","50 / 55","30 / 40",2500,2850,"88-93","96","40","sa3010374"
"Grant Gambrell","MIRP","BOS",,29,"23.5388888",,"Rise/Tail","50 / 55","","55 / 60","45 / 50","30 / 40",2450,2550,"91-94","96","40","sa3011129"
"Brendan Cellucci","SIRP","BOS",,30,"22.9305555",,"Rise","60 / 60","","60 / 60","","20 / 35",,,"94-96","97","40","sa3011710"
"Durbin Feltman","SIRP","BOS",,34,"24.1305555",,"Rise","55 / 60","55 / 55","45 / 50","","35 / 40",2300,2350,"92-95","96","40","sa3007959"
"Alex Santos II","SP","HOU",,15,"19.3194444",,"Rise","45 / 55","30 / 50","50 / 55","","25 / 50",,,"89-93","95","40","sa3014684"
"Chih-Jung Liu","SIRP","BOS",,36,"22.1611111",,"Tail","40 / 60","50 / 60","40 / 45","","30 / 40",2300,2400,"93-96","98","40","sa3014675"
"Nivaldo Rodriguez","SP","HOU",,17,"24.1361111",,"Rise","45 / 45","50 / 50","55 / 55","45 / 50","50 / 50",2250,2850,"89-92","94","40","22449"
"Misael Tamarez","SP","HOU",,20,"21.3861111",,"Cut/Rise","45 / 55","","","50 / 55","35 / 50",,,"92-94","94","40","sa3009632"
"Austin Hansen","SIRP","HOU",,22,"24.7777777",,,"55 / 55","55 / 55","","50 / 55","35 / 40",,,"93-95","96","40","sa3006956"
"Jojanse Torres","SIRP","HOU",,23,"25.8361111",,"Rise/Tail","60 / 60","55 / 55","","50 / 50","35 / 35",2400,2350,"94-97","99","40","sa3006955"
"Junior Santos","SP","NYM",,13,"19.8027777",,"Tail","50 / 60","45 / 50","","40 / 50","20 / 45",2350,2150,"89-93","95","40","sa3005470"
"Ryley Gilliam","SIRP","NYM",,14,"24.8166666",,"Rise","55 / 55","20 / 55","55 / 55","","30 / 35",2600,2800,"94-95","96","40","sa3008225"
"Franklyn Kilome","SIRP","NYM",,15,"25.9444444","10/24/18","Sink","55 / 55","40 / 40","60 / 60","50 / 50","40 / 40",2450,2200,"92-96","97","40","17861"
"R.J. Dabovich","SIRP","SFG",,25,"22.4",,"Rise","60 / 60","50 / 55","50 / 50","","30 / 40",2400,2500,"93-96","98","40","sa3014431"
"Robert Dominguez","SP","NYM",,16,"19.5138888",,,"55 / 60","","50 / 60","40 / 45","20 / 50",,,"93-96","99","40","sa3014694"
"Prelander Berroa","SIRP","SFG",,26,"21.1305555",,"Tail","55 / 60","45 / 50","","45 / 55","30 / 40",2450,2400,"92-96","98","40","sa3005069"
"Jose Butto","SP","NYM",,17,"23.2111111",,"Tail","40 / 40","45 / 50","","55 / 60","50 / 55",2350,,"89-94","96","40","sa3003166"
"Carson Ragsdale","SP","SFG",,27,"23.0277777",,,"45 / 50","","55 / 60","","35 / 55",,,"91-95","96","40","sa3014922"
"Joshua Cornielly","SP","NYM",,18,"20.3888888",,"Rise","40 / 45","","40 / 50","45 / 55","40 / 55",2150,,"88-93","95","40","sa3005890"
"Kai-Wei Teng","SP","SFG",,28,"22.5111111",,"Sink","45 / 50","45 / 50","50 / 50","45 / 50","45 / 60",2450,2500,"91-94","96","40","sa3007229"
"Jordany Ventura","SP","NYM",,20,"20.9138888",,"Cut/Rise","45 / 55","50 / 55","","40 / 50","40 / 50",2450,,"91-94","95","40","sa3008542"
"Jake Wong","SP","SFG",,31,"24.7555555",,"Sink","50 / 50","","45 / 50","45 / 50","45 / 55",2200,2450,"91-94","96","40","sa3008100"
"Carlos Hernandez","SIRP","KCR",,17,"24.2333333",,"Sink","60 / 60","","45 / 45","45 / 45","45 / 45",2400,2150,"95-98","100","40","22713"
"Josh Dye","MIRP","KCR",,20,"24.725",,"Sink/Tail","35 / 40","","50 / 50","55 / 55","50 / 60",2000,,"88-91","92","40","sa3007485"
"Christian Chamberlain","SIRP","KCR",,21,"21.875",,"Rise","45 / 60","","60 / 60","40 / 45","30 / 40",,,"93-96","97","40","sa3014486"
"Ben Hernandez","SIRP","KCR",,24,"19.9277777",,"Tail","50 / 55","35 / 40","","60 / 70","25 / 45",,,"92-95","96","40","sa3014541"
"Yohanse Morel","MIRP","KCR",,25,"20.7833333",,"Sink","45 / 45","45 / 50","","55 / 60","35 / 50",2300,2550,"89-93","94","40","sa3005685"
"Beck Way","SP","NYY",,22,"21.8305555",,"Tail","50 / 55","45 / 50","","45 / 50","30 / 45",,,"91-94","96","40","sa3014462"
"Edwin Nunez","SP","STL",,14,"19.5833333",,,"55 / 70","","45 / 55","","20 / 50",,,"92-96","99","40",
"Junior Fernandez","SIRP","STL",,15,"24.2583333",,"Sink","55 / 55","45 / 45","","60 / 60","30 / 35",2200,2150,"95-97","99","40","18496"
"Jon Heasley","SIRP","KCR",,28,"24.3555555",,,"55 / 55","40 / 45","","55 / 60","35 / 40",2350,2800,"91-94","96","40","sa3007211"
"Matt Sauer","SP","NYY",,24,"22.3722222","4/1/19","Tail","50 / 60","","50 / 55","40 / 50","35 / 45",2150,2600,"92-95","96","40","sa3005118"
"Charlie Neuweiler","SP","KCR",,29,"22.325",,,"40 / 40","","55 / 60","","35 / 55",2350,2700,"88-92","93","40","sa3004345"
"Seth Elledge","SIRP","STL",,17,"25.0416666",,"Sink","55 / 55","60 / 60","","","30 / 40",2150,2450,"92-94","96","40","19766"
"Nicio Rodriguez","SIRP","NYY",,26,"21.7555555",,"Rise","50 / 60","45 / 55","","","30 / 45",2500,2550,"89-94","96","40","sa3011194"
"Kodi Whitley","SIRP","STL",,18,"26.2888888",,"Rise","40 / 45","55 / 55","","50 / 60","40 / 40",2350,1950,"92-95","96","40","19731"
"Ronald Bolanos","SP","KCR",,31,"24.7833333",,"Sink","60 / 60","45 / 45","45 / 45","45 / 45","40 / 45",2250,2650,"90-96","99","40","20041"
"Noah Murdock","SP","KCR",,32,"22.7916666",,"Sink","55 / 55","","55 / 55","45 / 50","40 / 50",2150,2800,"90-95","97","40","sa919012"
"Denny Larrondo","SP","NYY",,28,"19.0138888",,"Rise","45 / 60","","55 / 60","35 / 50","35 / 55",2500,2900,"88-92","94","40","sa3010654"
"Ismael Aquino","SIRP","KCR",,34,"22.7583333",,,"60 / 65","","","40 / 45","30 / 40",2300,2050,"93-96","98","40","sa3003104"
"Jake Woodford","MIRP","STL",,23,"24.6027777",,"Sink","45 / 45","45 / 45","50 / 50","40 / 40","45 / 45",2250,2550,"90-94","96","40","18674"
"Carlos Sanabria","SIRP","KCR",,36,"24.3638888",,,"60 / 60","40 / 40","45 / 45","50 / 50","35 / 40",2400,2350,"93-97","99","35+","16634"
"Yefri Del Rosario","SIRP","KCR",,37,"21.7",,,"50 / 50","","50 / 55","40 / 45","35 / 45",2200,2400,"91-94","96","35+","sa3002971"
"Albert Abreu","SIRP","NYY",,33,"25.6916666",,"Tail","60 / 60","55 / 55","","60 / 60","30 / 30",2250,2600,"95-99","101","35+","17485"
"Andre Pallante","SP","STL",,25,"22.7138888",,"Cut","40 / 45","50 / 55","50 / 50","40 / 45","35 / 50",2150,,"90-93","95","35+","sa3011186"
"Brooks Kriske","SIRP","NYY",,34,"27.3388888",,"Rise","60 / 60","50 / 50","","","35 / 35",2500,2450,"92-96","98","35+","21189"
"Samuel Valerio","SIRP","KCR",,39,"19.6583333",,"Tail","60 / 70","","40 / 45","45 / 50","30 / 45",2400,2250,"94-97","99","35+","sa3009220"
"Alfredo Garcia","SIRP","NYY",,35,"21.8694444",,"Tail","45 / 50","","45 / 50","50 / 55","40 / 45",2300,1850,"90-94","95","35+","sa3003045"
"Anderson Paulino","MIRP","KCR",,40,"22.7305555",,"Sink/Tail","60 / 60","45 / 55","","","40 / 45",,,"95-97","98","35+","sa3007991"
"Anthony Veneziano","SIRP","KCR",,41,"23.7611111",,"Tail","50 / 55","","","50 / 55","30 / 40",,,"94-96","97","35+","sa1115745"
"Glenn Otto","SIRP","NYY",,37,"25.2333333",,"Rise","55 / 55","","55 / 60","","35 / 40",2400,2650,"92-94","96","35+","sa915710"
"Steven Gingery","SP","STL",,29,"23.6805555",,,"40 / 45","","45 / 45","55 / 60","35 / 50",2000,2300,"88-93","94","35+","sa3011747"
"Zach Haake","SIRP","KCR",,42,"24.6583333",,,"60 / 60","55 / 60","","40 / 45","30 / 35",2400,2500,"92-95","97","35+","sa3008523"
"Jesus Cruz","SIRP","STL",,30,"26.1388888",,"Sink","55 / 55","55 / 55","","50 / 50","30 / 35",2200,2750,"94-96","98","35+","20042"
"Osiel Rodriguez","SP","NYY",,39,"19.5361111",,"Tail","30 / 60","45 / 55","50 / 60","45 / 55","35 / 50",,,"86-89","90","35+","sa3009991"
"Connor Jones","SIRP","STL",,31,"26.6527777",,"Sink","55 / 55","50 / 55","","40 / 40","35 / 35",1900,2600,"92-95","97","35+","sa738697"
"Eduardo Herrera","SIRP","KCR",,44,"21.4166666",,"Rise","60 / 70","","45 / 50","","30 / 40",2400,2250,"94-96","97","35+","sa3002702"
"Roel Ramirez","SIRP","STL",,32,"26.025",,"Cut","45 / 45","45 / 45","","","40 / 40",2350,2700,"92-96","97","35+","16470"
"Drew Parrish","SP","KCR",,45,"23.4916666",,,"35 / 40","","45 / 45","50 / 55","35 / 50",2250,2700,"87-90","92","35+","sa3011395"
"Randy Vasquez","MIRP","NYY",,41,"22.5888888",,"Cut/Rise","45 / 50","","55 / 60","40 / 45","40 / 45",2500,3150,"90-94","95","35+","sa3007933"
"Yoljeldriz Diaz","SP","NYY",,42,"19.8916666",,"Rise","40 / 45","35 / 55","50 / 60","40 / 45","35 / 50",2150,2900,"90-92","93","35+","sa3010248"
"Griffin Roberts","SIRP","STL",,34,"24.9777777",,"Tail","40 / 45","55 / 60","","40 / 40","40 / 40",2250,2700,"90-93","95","35+","sa3008483"
"Rodard Avelino","SIRP","STL",,35,"22.0055555",,"Cut/Rise","60 / 70","45 / 60","","","20 / 30",2600,2750,"94-98","99","35+","sa3003040"
"Woo-Young Jin","SP","KCR",,48,"20.2777777",,,"30 / 40","","40 / 45","","35 / 50",2050,,"85-88","91","35+","sa3010132"
"Jake Agnos","MIRP","NYY",,44,"23.0333333",,"Rise","45 / 45","","45 / 45","50 / 55","40 / 50",2300,1850,"88-92","93","35+","sa1054040"
"Ken Waldichuk","MIRP","NYY",,45,"23.4083333",,"Rise/Tail","45 / 55","45 / 50","","45 / 50","45 / 50",2400,2200,"90-94","95","35+","sa1115814"
"Daniel Tillo","SIRP","KCR",,50,"24.9777777","7/29/20",,"60 / 60","50 / 50","","40 / 45","35 / 40",2250,2200,"92-95","97","35+","sa876284"
"Nelson L Alvarez","SIRP","NYY",,47,"22.9833333",,"Cut","50 / 55","50 / 55","","","30 / 40",2450,2550,"94-96","97","35+","sa3010783"
"Jose Salvador","SIRP","LAA",,24,"21.7055555",,"Rise","45 / 55","","50 / 50","30 / 35","35 / 40",2400,2500,"89-91","93","35+","sa3006482"
"Connor Higgins","SIRP","LAA",,25,"24.8722222",,"Rise","55 / 55","50 / 55","","","30 / 35",2250,,"91-94","97","35+","sa3006808"
"Gabriel Tapia","SP","LAA",,26,"19.0416666",,"Rise","40 / 45","","45 / 50","50 / 55","20 / 45",2300,,"90-93","94","35+","sa3009779"
"Oliver Ortega","SIRP","LAA",,28,"24.675",,"Rise","55 / 55","","55 / 55","","30 / 35",2300,,"92-96","97","35+","sa872800"
"Gerardo Reyes","SIRP","LAA",,29,"28.0611111","3/10/21","Tail","60 / 60","55 / 55","","","30 / 30",2450,2400,"95-98","99","35+","16306"
"Colby White","SIRP","TBR",,41,"22.9194444",,"Cut/Rise","55 / 60","50 / 55","","","30 / 40",2350,,"92-95","97","35+","sa3011200"
"Hunter Schryver","SIRP","CHW",,26,"26.1722222","2/20/20","Rise","60 / 60","50 / 50","","","45 / 55",2400,1050,"90-93","94","35+","sa873263"
"Robinson Pina","SIRP","LAA",,31,"22.525",,,"50 / 60","","50 / 55","40 / 45","20 / 30",2450,,"89-93","95","35+","sa3003123"
"Caleb Freeman","SIRP","CHW",,27,"23.2833333",,"Rise","55 / 60","","55 / 60","","30 / 35",2400,3050,"92-95","97","35+","sa3011339"
"Carlos Garcia","SIRP","TBR",,43,"22.5194444",,"Rise","55 / 60","45 / 50","","40 / 50","30 / 40",2600,2500,"90-94","95","35+","sa3006590"
"Victor Munoz","SIRP","TBR",,44,"20.4444444",,,"45 / 55","","45 / 50","40 / 50","35 / 50",2300,2250,"90-93","95","35+","sa3006381"
"Jimmy Lambert","SIRP","CHW",,29,"26.5472222","6/21/19","Tail","45 / 50","50 / 55","50 / 55","50 / 55","45 / 50",2200,2750,"91-94","95","35+","19541"
"Bailey Horn","MIRP","CHW",,30,"23.3888888","2/1/18","Rise","50 / 50","50 / 50","50 / 55","","40 / 45",2250,2500,"90-93","96","35+","sa3014493"
"Graeme Stinson","MIRP","TBR",,46,"23.8305555",,,"40 / 60","60 / 70","","40 / 40","35 / 45",2300,2650,"93-95","98","35+","sa3011900"
"Peyton Battenfield","SIRP","TBR",,47,"23.8194444",,,"50 / 55","","45 / 45","45 / 50","35 / 45",2350,,"92-95",,"35+","sa3010133"
"Joel Peguero","SIRP","TBR",,51,"24.0833333",,"Tail","70 / 70","55 / 60","","","35 / 40",2300,2500,"93-97","98","35+","sa917689"
"Sandy Gaston","SIRP","TBR",,52,"19.4694444",,"Rise","55 / 65","","45 / 50","45 / 50","30 / 45",2100,2150,"93-96","97","35+","sa3011136"
"Audry Lugo","SIRP","TBR",,55,"22.6",,"Cut","45 / 55","","55 / 60","40 / 45","40 / 50",2300,2750,"92-94","96","35+","sa3008710"
"Daiveyon Whittle","MIRP","TBR",,58,"21.5666666",,"Rise","40 / 45","45 / 50","","","40 / 50",2050,2350,"89-92","94","35+","sa3007617"
"Jayden Murray","MIRP","TBR",,59,"24.15",,"Rise","45 / 55","","50 / 60","","35 / 45",2600,2700,"90-94","96","35+","sa1170405"
"Aneudy Cortorreal","SIRP","TBR",,60,"21.4777777",,"Rise","65 / 70","40 / 50","40 / 45","40 / 45","30 / 40",2250,2100,"93-97","99","35+","sa3009242"
"Angel Felipe","SIRP","TBR",,61,"23.7638888",,"Rise","55 / 60","45 / 50","","45 / 55","20 / 35",2400,2450,"93-96","98","35+","sa881181"
"Luis Mey","SIRP","CIN",,25,"19.9472222",,"Rise","55 / 60","","40 / 45","35 / 45","30 / 45",2050,2250,"95-97","98","35+","sa3010130"
"Jacob Heatherly","MIRP","CIN",,26,"23.0416666",,"Tail","45 / 50","","45 / 50","50 / 55","30 / 40",1800,1950,"90-94","95","35+","sa3004736"
"Brandon Bailey","SIRP","CIN",,28,"26.6277777","2/26/21","Rise","50 / 50","45 / 50","55 / 55","60 / 60","40 / 40",2550,2600,"89-93","94","35+","19582"
"Hector Perez","SIRP","CIN",,29,"24.9972222",,"Cut/Rise","60 / 60","50 / 55","","","20 / 30",2350,2350,"91-95","96","35+","18592"
"Eduardo Salazar","MIRP","CIN",,30,"23.0833333",,"Rise","55 / 55","40 / 45","","40 / 45","45 / 55",2350,,"94-96","99","35+","sa3003131"
"Miguel Medrano","SIRP","CIN",,32,"23.4194444",,"Rise","40 / 45","","45 / 50","55 / 60","45 / 60",2200,2500,"89-92","93","35+","sa947763"
"Cristopher Sanchez","MIRP","PHI",,28,"24.4805555",,"Sink","50 / 55","45 / 45","45 / 45","50 / 55","40 / 45",2250,2200,"89-94","95","35+","20778"
"Noah Davis","SP","CIN",,33,"24.1194444","3/1/18","Tail","45 / 50","50 / 55","50 / 55","35 / 40","40 / 50",2400,2600,"91-93","94","35+","sa3010556"
"Dominic Pipkin","SP","PHI",,29,"21.5833333",,"Sink","50 / 60","40 / 45","40 / 45","45 / 55","35 / 50",2100,2000,"90-95","98","35+","sa3007896"
"Mauricio Llovera","SIRP","PHI",,30,"25.1333333",,"Tail","50 / 50","","45 / 45","","40 / 40",2000,2400,"93-95","96","35+","20080"
"Joe Boyle","SIRP","CIN",,35,"21.8083333",,"Tail","80 / 80","50 / 55","","","20 / 30",2550,2500,"98-101","102","35+","sa3014498"
"Julian Garcia","MIRP","PHI",,31,"26.0611111",,"Rise","55 / 55","","55 / 55","50 / 50","50 / 50",2700,2800,"87-90","91","35+","sa918182"
"Kyle Dohy","SIRP","PHI",,32,"24.7166666",,"Tail","50 / 50","40 / 40","","60 / 60","30 / 30",2400,2450,"90-93","96","35+","sa3004861"
"Octavio Becerra","SP","LAD",,40,"20.3388888",,"Sink","40 / 50","45 / 55","45 / 50","45 / 60","30 / 45",,,"90-93","94","35+","sa3008303"
"Mitch White","SIRP","LAD",,41,"26.4361111","11/1/13","Sink","55 / 55","50 / 50","55 / 55","","40 / 40",2300,2450,"93-95","97","35+","19225"
"Ramon Rosso","MIRP","PHI",,36,"24.9888888",,"Cut","","50 / 50","","","40 / 40",2600,2550,"94-96","97","35+","20368"
"Juan Morillo","SIRP","LAD",,43,"22.2111111",,"Rise","50 / 55","50 / 55","","30 / 40","30 / 45",2300,2550,"92-94","96","35+","sa917772"
"Osvanni Gutierrez","SP","LAD",,44,"20.0305555",,"Tail","35 / 50","","30 / 45","50 / 70","20 / 45",,,"90-92","93","35+","sa3009730"
"Victor Santos","SP","PHI",,38,"20.8972222",,"Tail","35 / 35","45 / 50","","","35 / 60",2150,2350,"87-91","92","35+","sa3003083"
"Kyle Hurt","SP","LAD",,45,"23.0138888",,"Tail/Rise","45 / 50","40 / 45","","50 / 55","30 / 50",2100,2300,"91-94","95","35+",
"Hsin-Chieh Lin","SP","PHI",,39,"22.2138888",,"Rise","40 / 45","40 / 50","","40 / 50","35 / 50",2450,2450,"89-92","94","35+","sa3008535"
"Hyun-il Choi","MIRP","LAD",,46,"21.0222222",,"Sink","40 / 45","","35 / 45","","35 / 55",2300,2150,"88-92","94","35+","sa3009992"
"Nicoly Pina","SP","PHI",,40,"21.6583333",,"Rise","55 / 60","45 / 55","","","30 / 40",2300,2350,"93-96","97","35+","sa3005875"
"Andrew Schultz","SIRP","PHI",,41,"23.8472222",,"Tail","70 / 70","45 / 50","","35 / 40","30 / 35",2450,,"96-99","100","35+","sa3010782"
"Jose Martinez","SIRP","LAD",,48,"22.1166666",,"Sink","45 / 50","40 / 45","","55 / 60","40 / 50",2250,2400,"91-95","97","35+","sa3002796"
"Gus Varland","SIRP","LAD",,50,"24.5805555","8/1/19",,"50 / 55","50 / 55","45 / 50","","40 / 45",2450,2350,"92-94","95","35+","sa3007779"
"Guillermo Zuniga","SIRP","LAD",,51,"22.6527777",,"Tail","55 / 60","55 / 60","","40 / 45","30 / 40",2350,2450,"91-96","97","35+","sa945024"
"Junior Mieses","SIRP","ARI",,38,"21.6388888",,"Cut/Rise","45 / 55","45 / 50","","","30 / 45",2450,2300,"90-93","95","35+","sa3005258"
"Bobby Ay","SIRP","ARI",,40,"24.0194444",,"Tail","40 / 50","50 / 60","40 / 45","","40 / 50",2150,2800,"90-92","93","35+","sa3011535"
"West Tunnell","SIRP","ARI",,41,"27.5416666",,"Cut/Rise","60 / 60","50 / 55","","","35 / 40",2500,2600,"93-96","97","35+","sa3002749"
"Matt Mercer","SIRP","ARI",,42,"24.7611111",,"Rise","45 / 55","40 / 40","45 / 45","55 / 55","40 / 40",2150,2450,"88-93","96","35+","sa3007837"
"Avery Short","SP","ARI",,43,"20.225",,"Rise","30 / 40","45 / 50","45 / 50","30 / 45","25 / 60",,,"88-92","93","35+","sa3011712"
"Edinson Soto","SIRP","ARI",,44,"24.7166666",,"Cut/Rise","50 / 55","45 / 55","50 / 55","","",2400,2800,"92-95","96","35+","sa3009831"
"Daniel Robert","SIRP","TEX",,48,"26.7638888",,,"50 / 50","70 / 70","","","45 / 45",,,"94-95","96","35+","sa3009856"
"Luis Castillo","SIRP","ARI",,45,"26.2361111",,"Tail","45 / 45","50 / 50","","55 / 55","50 / 50",,,"90-92","94","35+","sa657838"
"Jake Latz","SP","TEX",,50,"25.1583333",,,"45 / 45","","55 / 55","40 / 45","45 / 50",,,"89-93","94","35+","sa829008"
"Cam Hill","SIRP","CLE",,42,"27.0305555",,"Rise","50 / 50","55 / 55","50 / 50","","40 / 40",2300,2750,"91-94","95","35+","16840"
"Fernery Ozuna","SIRP","TEX",,51,"25.5722222",,,"55 / 60","45 / 50","","45 / 50","40 / 40",,,"94-97","100","35+","sa739259"
"Eli Morgan","MIRP","CLE",,43,"25.0611111",,"Rise","45 / 45","45 / 50","45 / 45","60 / 70","50 / 55",2400,2500,"87-90","92","35+","20203"
"Xzavion Curry","SP","CLE",,44,"22.8555555",,"Rise","45 / 50","45 / 50","50 / 50","40 / 45","35 / 55",,,"89-94",,"35+","sa3014790"
"Robert Broom","SIRP","CLE",,43,"24.7166666",,"Sink/Tail","40 / 40","55 / 55","","","50 / 55",2100,,"87-90","92","35+","sa3007235"
"Dylan MacLean","SP","TEX",,54,"18.8972222",,"Rise","30 / 50","","45 / 55","30 / 45","25 / 50",,,"88-90","91","35+","sa3014508"
"Scott Moss","MIRP","CLE",,45,"26.6638888",,"Rise","55 / 55","50 / 50","","50 / 50","35 / 40",2400,2400,"89-93","95","35+","sa738902"
"Jean Carlos Mejia","SP","CLE",,46,"24.775",,"Sink","50 / 50","50 / 55","","45 / 50","50 / 50",2150,,"90-94","95","35+","20617"
"Adam Scott","SIRP","CLE",,48,"25.6527777",,"Tail","50 / 55","55 / 60","","40 / 45","45 / 55",2250,,"90-93","95","35+","sa3006826"
"Scott Engler","SIRP","TEX",,59,"24.4805555","9/7/16",,"45 / 45","","","","40 / 40",,,"93-94","95","35+","sa918353"
"Hever Bueno","SIRP","TEX",,61,"26.5333333","6/10/16",,"60 / 60","50 / 55","","","30 / 35",2300,2600,"92-97","99","35+","sa738180"
"Kelvin Bautista","SIRP","TEX",,62,"21.9111111",,,"60 / 60","","50 / 55","","20 / 30",,,"94-97","98","35+","sa3006491"
"Kelvin Gonzalez","SIRP","TEX",,63,"23.4472222",,,"60 / 60","","55 / 55","50 / 50","40 / 40",2450,,"94-96","98","35+","sa920544"
"Jordan Holloway","SIRP","MIA",,37,"24.9777777","6/19/17",,"60 / 60","45 / 50","","","35 / 40",2250,2500,"94-96","98","35+","20631"
"Po-Yu Chen","SP","PIT",,43,"19.675",,,"40 / 50","40 / 45","45 / 50","40 / 50","25 / 55",,,"91-92","93","35+","sa3014699"
"Paul Campbell","MIRP","MIA",,38,"25.8583333",,,"40 / 40","45 / 45","55 / 55","","55 / 55",,,"91-93","95","35+","22248"
"Braxton Ashcraft","SIRP","PIT",,44,"21.6666666",,"Tail","35 / 45","50 / 55","45 / 50","40 / 45","40 / 50",2250,2400,"88-93","95","35+","sa3008470"
"Will Stewart","MIRP","MIA",,39,"23.8916666",,"Tail","40 / 40","45 / 50","45 / 50","45 / 50","50 / 55",2000,2650,"87-89","91","35+","sa875247"
"Yerry De Los Santos","SIRP","PIT",,46,"23.4805555",,"Tail","55 / 60","50 / 55","","","35 / 40",2250,2400,"93-96","98","35+","sa873562"
"Darius Vines","SP","ATL",,26,"23.0972222",,"Cut/Rise","45 / 50","","45 / 50","55 / 60","35 / 50",2350,,"88-92","94","35+","sa918848"
"Wilkin Ramos","SP","PIT",,49,"20.5972222",,"Cut","45 / 60","","40 / 45","45 / 55","35 / 45",2150,2200,"89-93","95","35+","sa3006487"
"Jared Johnson","SP","ATL",,27,"20.2222222",,"Sink","55 / 60","45 / 55","","","30 / 50",1850,,"94-97","99","35+","sa3011626"
"Andy Maldonado","SP","PIT",,50,"18.8722222",,"Tail","40 / 50","40 / 45","","45 / 55","35 / 50",2300,2000,"89-93","95","35+","sa3009607"
"Jorge Guzman","SIRP","MIA",,45,"25.3527777",,,"55 / 55","55 / 55","","45 / 50","30 / 35",2250,1900,"95-97","100","35+","17505"
"Nolan Kingham","SP","ATL",,30,"24.7972222",,"None","50 / 55","40 / 45","","40 / 45","45 / 55",2200,,"92-94","96","35+","sa3008224"
"Breidy Encarnacion","SP","MIA",,47,"20.5722222",,,"40 / 45","","45 / 50","40 / 50","40 / 50",2400,2250,"87-91","93","35+","sa3009205"
"Luis Palacios","SP","MIA",,48,"20.9277777",,,"30 / 40","45 / 50","","50 / 55","45 / 60",2150,2350,"85-87","89","35+","sa3003021"
"Sem Robberse","SP","TOR",,29,"19.6472222",,,"30 / 50","20 / 50","50 / 55","20 / 50","20 / 50",2400,2500,"88-81","93","35+","sa3011735"
"Patrick Murphy","SIRP","TOR",,30,"25.9861111",,"Sink","60 / 60","","50 / 50","","45 / 45",2100,2300,"93-97","99","35+","19712"
"Ben Bowden","SIRP","COL",,25,"26.6222222",,"Sink","45 / 45","45 / 45","","60 / 60","40 / 40",2450,2150,"92-95","96","35+","20198"
"T.J. Zeuch","SP","TOR",,31,"25.8444444",,"Sink","45 / 45","40 / 40","","45 / 45","45 / 55",2200,2250,"90-93","94","35+","19269"
"Will Ethridge","SP","COL",,26,"23.4583333",,"Tail","40 / 40","45 / 50","","50 / 50","35 / 60",2200,2150,"90-95","96","35+","sa3011337"
"Ashton Goudeau","SIRP","COL",,27,"28.8666666",,"Rise","50 / 50","50 / 50","55 / 55","40 / 45","55 / 55",2200,2400,"91-94","96","35+","15139"
"Nick Frasso","SP","TOR",,33,"22.6305555",,"Rise","45 / 55","","40 / 45","40 / 50","30 / 50",2350,2100,"91-93","95","35+","sa3014492"
"Antonio Santos","SIRP","COL",,28,"24.6638888",,"Rise","55 / 55","50 / 50","45 / 45","50 / 50","40 / 40",2200,2200,"92-95","97","35+","20383"
"Travis Bergen","SIRP","TOR",,34,"27.6583333",,,"55 / 55","","60 / 60","","35 / 35",2300,2900,"93-95","96","35+","18581"
